date,home,away,home_points,away_points,location,event
6/27/2026,the world,Doggs,,,"Milwaukee, WI",Lakefront 7s
4/25/2026,the world,Doggs,,,"Clearwater, MN",All Saints Tournament
4/11/2026,Rochester Alumni,Doggs,,,"Rochester, MN",Alumni
3/28/2026,the world,Doggs,,,"Platteville, WI",Mudfest 7s
3/7/2026,St. Johns,Doggs,,,TBA,15s Scrimmage
2/28/2026,the world,Doggs,,,"Lacrosse, WI",Frozen 7s
10/18/2025,Mankato,Doggs,,,"Mankato, MN",Fall Regular Season
10/11/2025,Doggs,St. Thomas,,,"Winona, MN",Fall Regular Season
10/4/2025,NDSU,Doggs,,,"Fargo, ND",Fall Regular Season
9/27/2025,Doggs,St. Johns,,,"Winona, MN",Fall Regular Season
9/20/2025,Moorhead,Doggs,,,"Moorhead, MN",Fall Regular Season
9/6/2025,Doggs,UMD,,,"Winona, MN",Fall Regular Season
6/21/2025,Drinkin Park,Doggs,19,12,"Milwaukee, WI",Lakefront 7s
6/21/2025,Doggs,Mooseknuckle,28,0,"Milwaukee, WI",Lakefront 7s
6/21/2025,Doggs,MRFC,22,15,"Milwaukee, WI",Lakefront 7s
4/26/2025,St. Johns,Doggs,W,L,"Clearwater, MN",All Saints
4/26/2025,Moorhead,Doggs,L,W,"Clearwater, MN",All Saints
4/19/2025,Carleton,Doggs,,,"Northfield, MN",Spring Regular Season
4/12/2025,Doggs,Iowa Men's Club,12,14,"Decorah, IA",Tournament
4/12/2025,Rochester,Doggs,30,7,"Decorah, IA",Tournament
10/26/2024,St. Johns,Doggs,,,"Collegeville, MN",Fall Regular Season
10/12/2024,St. Thomas,Doggs,,,"St. Paul, MN",Fall Regular Season
10/5/2024,Doggs,Moorhead,,,"Winona, MN",Fall Regular Season
9/21/2024,Doggs,SDSU,,,"Winona, MN",Fall Regular Season
9/14/2024,Doggs,NDSU,10,22,"Winona, MN",Fall Regular Season
6/29/2024,Doggs,Kenosha,19,10,"Kenosha, WI",Harborfest 7s
6/29/2024,Southside Irish,Doggs,40,0,"Kenosha, WI",Harborfest 7s
6/29/2024,Milwaukee RFC,Doggs,41,5,"Kenosha, WI",Harborfest 7s
